ID,Grupo,Fabricante,Modelo,Ano
1,RETRO HOT HATCH,2001,Acura,Integra Type-R
2,RETRO HOT HATCH,2002,Acura,RSX Type-S
3,MODERN SUPERCARS,2017,Acura,NSX
4,CLASSIC RALLY,1973,Alpine,A110 1600s
5,MODERN SPORTS CARS,2017,Alpine,A110
6,UNLIMITED BUGGIES,2015,Alumi Craft,Class 10 Race Car
7,CULT CARS,1973,AMC,Gremlin X
8,UNLIMITED OFFROAD,2554,AMG TRANSPORT DYNAMICS,M12S Warthog CST
9,EXTREME TRACK TOYS,2018,Apollo,Intensa Emozione
10,EXTREME TRACK TOYS,2018,Apollo,"Intensa Emozione ""Welcome Pack"""
11,EXTREME TRACK TOYS,2013,Ariel,Atom 500 V8
12,UNLIMITED BUGGIES,2016,Ariel,Nomad
13,RARE CLASSICS,1964,Aston Martin,DB5
14,SUPER GT,2013,Aston Martin,V12 Vantage S
15,TRACK TOYS,2015,Aston Martin,Vantage GT12
16,SUPER GT,2017,Aston Martin,DB11
17,EXTREME TRACK TOYS,2017,Aston Martin,Vulcan AMR Pro
18,GT CARS,2019,Aston Martin,Vantage
19,SUPER GT,2019,Aston Martin,DBS Superleggera
20,HYPERCARS,2019,Aston Martin,Valhalla Concept Car
21,RETRO RALLY,1983,Audi,Sport quattro
22,RETRO SALOONS,1995,Audi,Avant RS2
23,RETRO SALOONS,2001,Audi,RS 4 Avant
24,RETRO SALOONS,2003,Audi,RS 6
25,SUPER SALOONS,2006,Audi,RS 4
26,SUPER SALOONS,2009,Audi,RS 6
27,MODERN SPORTS CARS,2010,Audi,TT RS Coupé
28,SUPER HOT HATCH,2011,Audi,RS 3 Sportback
29,SUPER SALOONS,2011,Audi,RS 5 Coupé
30,SUPER SALOONS,2013,Audi,RS 4 Avant
31,SUPER SALOONS,2013,Audi,RS 7 Sportback
32,MODERN SUPERCARS,2013,Audi,R8 Coupé V10 plus 5.2 FSI quattro
33,SUPER SALOONS,2015,Audi,RS 6 Avant
34,MODERN SPORTS CARS,2015,Audi,TTS Coupé
35,HOT HATCH,2015,Audi,S1
36,MODERN SUPERCARS,2016,Audi,R8 V10 plus
37,CLASSIC SPORTS CARS,1958,Austin-Healey,Sprite MkI
38,VINTAGE RACERS,1939,Auto Union,Type D
39,TRACK TOYS,2014,BAC,Mono
40,VINTAGE RACERS,1930,Bentley,Blower 4-1/2 Litre Supercharged
41,RARE CLASSICS,1930,Bentley,8 Litre
42,SPORTS UTILITY HEROES,2016,Bentley,Bentayga
43,GT CARS,2017,Bentley,Continental Supersports
44,CULT CARS,1957,BMW,Isetta 300 Export
45,RETRO SUPERCARS,1981,BMW,M1
46,RETRO SALOONS,1988,BMW,M5
47,RETRO SALOONS,1991,BMW,M3
48,RETRO SALOONS,1995,BMW,M5
49,RETRO SALOONS,1997,BMW,M3
50,TRACK TOYS,2002,BMW,M3-GTR
51,RETRO SPORTS CARS,2002,BMW,Z3 M Coupe
52,RETRO SALOONS,2003,BMW,M5
53,RETRO SALOONS,2005,BMW,M3
54,SUPER SALOONS,2008,BMW,M3
55,MODERN SPORTS CARS,2008,BMW,Z4 M Coupe
56,SUPER SALOONS,2009,BMW,M5
57,SUPER SALOONS,2011,BMW,1 Series M Coupe
58,SPORTS UTILITY HEROES,2011,BMW,X5 M
59,SUPER SALOONS,2012,BMW,M5
60,GT CARS,2013,BMW,M6 Coupe
61,SUPER SALOONS,2014,BMW,M4 Coupe
62,MODERN SUPERCARS,2015,BMW,i8
63,SPORTS UTILITY HEROES,2015,BMW,X6 M
64,SUPER SALOONS,2016,BMW,M2 Coupé
65,TRACK TOYS,2016,BMW,M4 GTS
66,SUPER SALOONS,2018,BMW,M5
67,MODERN SPORTS CARS,2019,BMW,Z4 Roadster
68,VINTAGE RACERS,1926,Bugatti,Type 35 C
69,RETRO SUPERCARS,1992,Bugatti,EB110 Super Sport
70,HYPERCARS,2011,Bugatti,Veyron Super Sport
71,HYPERCARS,2018,Bugatti,Chiron
72,EXTREME TRACK TOYS,2019,Bugatti,Divo
73,CLASSIC MUSCLE,1970,Buick,GSX
74,RETRO MUSCLE,1987,Buick,Regal GNX
75,MODERN MUSCLE,2016,Cadillac,ATS-V
76,MODERN MUSCLE,2016,Cadillac,CTS-V Sedan
77,UTV'S,2018,Can-Am,Maverick X RS Turbo R
78,TRACK TOYS,2013,Caterham,Superlight R500
79,RODS AND CUSTOMS,1955,Chevrolet,150 Utility Sedan
80,RODS AND CUSTOMS,1957,Chevrolet,Bel Air
81,CLASSIC SPORTS CARS,1960,Chevrolet,Corvette
82,RODS AND CUSTOMS,1964,Chevrolet,Impala Super Sport 409
83,CLASSIC MUSCLE,1967,Chevrolet,Corvette Stingray 427
84,CLASSIC MUSCLE,1969,Chevrolet,Camaro Super Sport Coupe
85,CLASSIC MUSCLE,1969,Chevrolet,Nova Super Sport 396
86,CLASSIC MUSCLE,1970,Chevrolet,Chevelle Super Sport 454
