Fabricante,Ano,Modelo,Tipo,Raridade,Pais,Valor
Abarth,1968,Abarth 595 esseesse,Cult Classics,Common,IT,35000
Abarth,1980,Fiat 131,Classic Rally,Common,IT,250000
Abarth,2016,695 Biposto,Hot Hatch,Common,IT,250000
Abarth,2017,124 Spider,Modern Sports Cars,Common,IT,250000
Acura,2001,Integra Type R,Retro Hot Hatch,Common,US,25000
Acura,2002,RSX Type S,Retro Hot Hatch,Common,US,25000
Acura,2017,NSX,Modern Supercars,Rare,US,170000
Alfa Romeo,1965,Giulia TZ2,Classic Racers,Legendary,IT,4000000
Alfa Romeo,1965,Giulia Sprint GTA Stradale,Rare Classics,Rare,IT,300000
Alfa Romeo,1968,33 Stradale,Classic Racers,Legendary,IT,15000000
Alfa Romeo,1992,155 Q4,Retro Saloons,Common,IT,250000
Alfa Romeo,2007,8C Competizione,GT Cars,Epic,IT,300000
Alfa Romeo,2014,4C,Modern Sports Cars,Rare,IT,250000
Alfa Romeo,2017,Giulia Quadrifoglio,Super Saloons,Rare,IT,120000
Alpine,1973,A110 1600S,Classic Rally,Rare,FR,98000
Alpine,2017,A110,Modern Sports Cars,Epic,FR,67500
Alumnicraft,2015,Class 10 Race Car,Unlimited Buggies,Epic,US,300000
Alumnicraft,2021,#122 Class 1 Buggy,Unlimited Buggies,Epic,US,300000
Alumnicraft,2022,#6165 Trick Truck,Unlimited Offroad,Epic,US,500000
AMC,1970,"Rebel ""The Machine""",Classic Muscle,Rare,US,250000
AMC,1971,Javelin AMX,Classic Muscle,Rare,US,250000
AMC,1973,Gremlin X,Cult Classics,Common,US,35000
AMG Transport Dynamics,2554,M12S Warthog CST,Unlimited Offroad,Legendary,US,850000
Apollo,2018,Intensa Emozione,Extreme Track Toys,Legendary,DE,1500000
Apollo,2018,"Intensa Emozione ""Welcome Pack""",Extreme Track Toys,Common,DE,1500000
Ariel,2013,Atom 500 V8,Extreme Track Toys,Epic,GB,200000
Ariel,2016,Nomad,Unlimited Buggies,Rare,GB,93000
Ascari,2012,KZ1R,Modern Supercars,Epic,GB,250000
Aston Martin,1958,DBR1,Classic Racers,Legendary,GB,22500000
Aston Martin,1964,DB5,Rare Classics,Epic,GB,800000
Aston Martin,2008,DBS,GT Cars,Epic,GB,325000
Aston Martin,2010,One-77,Super GT,Legendary,GB,1400000
Aston Martin,2013,V12 Vantage S,Super GT,Epic,GB,240000
Aston Martin,2016,Vantage GT12,Track Toys,Epic,GB,400000
Aston Martin,2017,Vulcan AMR Pro,Extreme Track Toys,Legendary,GB,2000000
Aston Martin,2017,DB11,Super GT,Epic,GB,300000
Aston Martin,2019,Valhalla Concept Car,Hypercars,Legendary,GB,1150000
Aston Martin,2019,DBS Superleggera,Super GT,Epic,GB,350000
Aston Martin,2019,Vantage,GT Cars,Epic,GB,430000
Aston Martin,2021,DBX,Sports Utility Heroes,Rare,GB,200000
Aston Martin,2022,Valkyrie AMR Pro,Extreme Track Toys,Legendary,GB,4210000
Aston Martin,2023,Valkyrie,Hypercars,Legendary,GB,3250000
ATS,2018,GT,Modern Supercars,Epic,IT,850000
Audi,1983,Sport quattro,Retro Rally,Epic,DE,175000
Audi,1986,#2 Audi Sport quattro S1,Rally Monsters,Legendary,DE,375000
Audi,1995,Avant RS2,Retro Saloons,Common,DE,50000
Audi,2001,RS 4 Avant,Retro Saloons,Common,DE,94000
Audi,2003,RS 6,Retro Saloons,Rare,DE,105000
Audi,2006,RS 4,Super Saloons,Rare,DE,53000
Audi,2009,RS 6,Super Saloons,Epic,DE,155000
Audi,2010,TT RS Coupé,Modern Sports Cars,Rare,DE,66000
Audi,2011,RS 5 Coupé,Super Saloons,Rare,DE,88000
Audi,2011,RS 3 Sportback,Super Hot Hatch,Common,DE,42000
Audi,2013,R8 Coupé V10 Plus 5.2 FSI Quattro,Modern Supercars,Epic,DE,290000
Audi,2013,RS 7 Sportback,Super Saloons,Epic,DE,225000
Audi,2013,RS 4 Avant,Super Saloons,Rare,DE,83000
Audi,2015,RS 6 Avant,Super Saloons,Rare,DE,150000
Audi,2015,S1,Hot Hatch,Common,DE,35000
Audi,2015,TTS Coupé,Modern Sports Cars,Common,DE,52000
Audi,2016,R8 V10 plus,Modern Supercars,Epic,DE,242000
Audi,2018,RS 4 Avant,Super Saloons,Rare,DE,250000
Audi,2018,RS 5 Coupe,Super Saloons,Rare,DE,95000
Audi,2018,TT RS,Modern Sports Cars,Rare,DE,75000
Audi,2020,RS 3 Sedan,Super Saloons,Rare,DE,60000
Audi,2020,TT RS Coupe,Modern Sports Cars,Rare,DE,250000
Audi,2021,RS e-tron GT,Super Saloons,Epic,DE,250000
Audi,2021,RS 6 Avant,Super Saloons,Rare,DE,250000
Audi,2021,RS 7 Sportback,Super Saloons,Rare,DE,250000
Austin-Healey,1958,Sprite MkI,Classic Sports Cars,Common,GB,20000
Auto Union,1939,Type D,Vintage Racers,Legendary,DE,15000000
Automobili Pininfarina,2020,Battista,Hypercars,Legendary,IT,2500000
BAC,2014,Mono,Track Toys,Epic,GB,160000
Bentley,1930,8 Litre,Rare Classics,Legendary,GB,1500000
Bentley,1930,Blower 4-1/2 Litre Supercharged,Vintage Racers,Legendary,GB,4000000
Bentley,1991,Turbo R,Retro Saloons,Rare,GB,250000
Bentley,2016,Bentayga,Sports Utility Heroes,Epic,GB,180000
Bentley,2017,Continental Supersports,GT Cars,Epic,GB,200000
Bentley,2021,Continental GT Convertible,GT Cars,Rare,GB,300000
BMW,1957,Isetta 300 Export,Cult Classics,Common,DE,45000
BMW,1973,2002 Turbo,Classic Sports Cars,Legendary,DE,26000
BMW,1981,M1,Retro Supercars,Epic,DE,585000
BMW,1988,M5,Retro Saloons,Rare,DE,54000
BMW,1991,M3,Retro Saloons,Rare,DE,70000
BMW,1995,850CSi,Retro Sports Cars,Rare,DE,250000
BMW,1995,M5,Retro Saloons,Rare,DE,25000
BMW,1997,M3,Retro Saloons,Common,DE,35000
BMW,2002,M3-GTR,Track Toys,Epic,DE,180000
BMW,2002,Z3 M Coupe,Retro Sports Cars,Common,DE,30000
BMW,2003,M5,Retro Saloons,Common,DE,30000
BMW,2005,M3,Retro Saloons,Common,DE,33000
BMW,2008,Z4 M Coupe,Modern Sports Cars,Rare,DE,82000
BMW,2008,M3,Super Saloons,Common,DE,48000
BMW,2009,M5,Super Saloons,Rare,DE,90000
BMW,2010,M3 GTS,Track Toys,Epic,DE,250000
BMW,2011,X5 M Forza Edition,Extreme Track Toys,Forza Edition,DE,500000
BMW,2011,1 Series M Coupe,Super Saloons,Rare,DE,55000
BMW,2011,X5 M,Sports Utility Heroes,Common,DE,100000
BMW,2011,X5 Traffic,-,-,DE,-
BMW,2012,M5,Super Saloons,Rare,DE,112000
BMW,2013,M6 Coupe,GT Cars,Rare,DE,120000
BMW,2014,M4 Coupe,Super Saloons,Rare,DE,92000
BMW,2015,X6 M,Sports Utility Heroes,Epic,DE,130000
BMW,2015,i8,Modern Supercars,Rare,DE,140000
BMW,2016,M4 GTS,Track Toys,Epic,DE,135000
BMW,2016,M2 Coupé,Super Saloons,Common,DE,69000
BMW,2018,#1 BMW M Motorsport M8 GTE,Extreme Track Toys,Rare,DE,313000
BMW,2018,M5,Super Saloons,Rare,DE,105000
BMW,2019,Z4 Roadster,Modern Sports Cars,Common,DE,35000
BMW,2020,M8 Competition Coupe,GT Cars,Rare,DE,175000
BMW,2021,M3 Competition Sedan,Super Saloons,Epic,DE,250000
BMW,2021,M4 Competition Coupé,Super Saloons,Rare,DE,250000
BMW,2022,i4 eDrive40,Super Saloons,Rare,DE,250000
BMW,2022,iX xDrive50,Sports Utility Heroes,Rare,DE,250000
BMW,2023,M2,Super Saloons,Rare,DE,250000
Brabham,2019,BT62,Extreme Track Toys,Legendary,GB,1500000
Bugatti,1926,Type 35 C,Vintage Racers,Legendary,FR,1300000
Bugatti,1992,EB110 Super Sport,Retro Supercars,Legendary,FR,1700000
Bugatti,2011,Veyron Super Sport,Hypercars,Legendary,FR,2200000
Bugatti,2018,Chiron,Hypercars,Legendary,FR,2400000
Bugatti,2019,Divo,Extreme Track Toys,Legendary,FR,3000000
Buick,1970,GSX,Classic Muscle,Rare,US,80000
Buick,1987,Regal GNX,Retro Muscle,Rare,US,130000
Cadillac,2013,XTS Limousine,Super Saloons,Rare,US,250000
Cadillac,2015,#3 Cadillac Racing ATS-V.R,Extreme Track Toys,Rare,US,308000
Cadillac,2016,ATS-V,Modern Muscle,Common,US,65000
Cadillac,2016,CTS-V Sedan,Modern Muscle,Common,US,80000
Cadillac,2022,CT4-V Blackwing,Modern Muscle,Rare,US,250000
Cadillac,2022,CT5-V Blackwing,Modern Muscle,Rare,US,250000
Can-Am,2018,Maverick X RS Turbo R,UTVs,Common,CA,25000
Casey Currie Motorsports,2019,#4402 Ultra 4 'Trophy Jeep',Unlimited Offroad,Epic,US,500000
Caterham,2013,Superlight R500,Track Toys,Rare,GB,82000
Chevrolet,1953,Corvette Forza Edition,Classic Racers,Forza Edition,US,500000
Chevrolet,1953,Corvette,Classic Sports Cars,Legendary,US,210000
Chevrolet,1955,150 Utility Sedan,Rods & Customs,Common,US,35000
Chevrolet,1956,'Barbie Movie' Corvette EV,Rods & Customs,Epic,US,500000
Chevrolet,1957,Bel Air,Rods & Customs,Rare,US,130000
Chevrolet,1960,Corvette,Classic Sports Cars,Epic,US,210000
Chevrolet,1964,Impala Super Sport 409,Rods & Customs,Common,US,46000
Chevrolet,1966,Nova Super Sport,Classic Muscle,Common,US,250000
Chevrolet,1967,Corvette Stingray 427,Classic Muscle,Epic,US,150000
Chevrolet,1969,Camaro Super Sport Coupe,Classic Muscle,Rare,US,110000
Chevrolet,1969,Nova Super Sport 396,Classic Muscle,Common,US,47000
Chevrolet,1970,Corvette ZR-1,Classic Muscle,Epic,US,310000
Chevrolet,1970,Camaro Z28,Classic Muscle,Rare,US,53000
Chevrolet,1970,Chevelle Super Sport 454,Classic Muscle,Rare,US,80000
Chevrolet,1970,El Camino Super Sport 454,Vans & Utility,Rare,US,65000
